Month,Year,Country,Arrivals
May,2023,    Hong Kong,75345.0
May,2023,    Japan,115040.0
May,2023,  South Asia,272452.0
May,2023,  Middle East,67704.0
May,2023,  Oceania,276655.0
May,2023,  Europe,178465.0
May,2023,    France,20845.0
May,2023,    Germany,37987.0
May,2023,    United Kingdom,50777.0
May,2023,  North America,58215.0
May,2023,  Other Regions,8359.0
Apr,2023,Number Of Air Passenger Arrivals,2304751.0
Apr,2023,  South East Asia,999423.0
Apr,2023,    Indonesia,262495.0
Apr,2023,    Malaysia,261045.0
Apr,2023,    Philippines,115838.0
Apr,2023,    Thailand,208237.0
Apr,2023,    Vietnam,105687.0
Apr,2023,  North East Asia,484730.0
Apr,2023,    Mainland China,126550.0
Apr,2023,    Hong Kong,76541.0
Apr,2023,    Japan,117712.0
Apr,2023,  South Asia,260344.0
Apr,2023,  Middle East,60304.0
Apr,2023,  Oceania,269449.0
Apr,2023,  Europe,173655.0
Apr,2023,    France,20337.0
Apr,2023,    Germany,37972.0
Apr,2023,    United Kingdom,49612.0
Apr,2023,  North America,48587.0
Apr,2023,  Other Regions,8259.0
Mar,2023,Number Of Air Passenger Arrivals,2294797.0
Mar,2023,  South East Asia,1015324.0
Mar,2023,    Indonesia,253733.0
Mar,2023,    Malaysia,258302.0
Mar,2023,    Philippines,118229.0
Mar,2023,    Thailand,228228.0
Mar,2023,    Vietnam,110179.0
Mar,2023,  North East Asia,439060.0
Mar,2023,    Mainland China,90156.0
Mar,2023,    Hong Kong,73512.0
Mar,2023,    Japan,115050.0
Mar,2023,  South Asia,256815.0
Mar,2023,  Middle East,76415.0
Mar,2023,  Oceania,264789.0
Mar,2023,  Europe,184712.0
Mar,2023,    France,19812.0
Mar,2023,    Germany,41603.0
Mar,2023,    United Kingdom,55242.0
Mar,2023,  North America,50372.0
Mar,2023,  Other Regions,7310.0
Feb,2023,Number Of Air Passenger Arrivals,1998306.0
Feb,2023,  South East Asia,900278.0
Feb,2023,    Indonesia,215290.0
Feb,2023,    Malaysia,235207.0
Feb,2023,    Philippines,108926.0
Feb,2023,    Thailand,196200.0
Feb,2023,    Vietnam,102251.0
Feb,2023,  North East Asia,352672.0
Feb,2023,    Mainland China,50983.0
Feb,2023,    Hong Kong,59409.0
Feb,2023,    Japan,101878.0
Feb,2023,  South Asia,237581.0
Feb,2023,  Middle East,65818.0
Feb,2023,  Oceania,219120.0
Feb,2023,  Europe,172671.0
Feb,2023,    France,19287.0
Feb,2023,    Germany,40824.0
Feb,2023,    United Kingdom,49882.0
Feb,2023,  North America,44211.0
Feb,2023,  Other Regions,5955.0
Jan,2023,Number Of Air Passenger Arrivals,2254509.0
Jan,2023,  South East Asia,990177.0
Jan,2023,    Indonesia,237294.0
Jan,2023,    Malaysia,250687.0
Jan,2023,    Philippines,135480.0
Jan,2023,    Thailand,218226.0
Jan,2023,    Vietnam,103236.0
Jan,2023,  North East Asia,377724.0
Jan,2023,    Mainland China,36744.0
Jan,2023,    Hong Kong,56563.0
Jan,2023,    Japan,110117.0
Jan,2023,  South Asia,262870.0
Jan,2023,  Middle East,83329.0
Jan,2023,  Oceania,276198.0
Jan,2023,  Europe,200543.0
Jan,2023,    France,23143.0
Jan,2023,    Germany,46651.0
Jan,2023,    United Kingdom,58315.0
Jan,2023,  North America,56104.0
Jan,2023,  Other Regions,7564.0
Dec,2022,Number Of Air Passenger Arrivals,2302447.0
Dec,2022,  South East Asia,1031888.0
Dec,2022,    Indonesia,259138.0
Dec,2022,    Malaysia,281272.0
Dec,2022,    Philippines,107416.0
Dec,2022,    Thailand,225584.0
Dec,2022,    Vietnam,111769.0
Dec,2022,  North East Asia,352631.0
Dec,2022,    Mainland China,24083.0
Dec,2022,    Hong Kong,48912.0
Dec,2022,    Japan,119750.0
Dec,2022,  South Asia,245564.0
Dec,2022,  Middle East,94090.0
Dec,2022,  Oceania,302629.0
Dec,2022,  Europe,204605.0
Dec,2022,    France,25551.0
Dec,2022,    Germany,46439.0
Dec,2022,    United Kingdom,60069.0
Dec,2022,  North America,63365.0
Dec,2022,  Other Regions,7675.0
Nov,2022,Number Of Air Passenger Arrivals,1922090.0
Nov,2022,  South East Asia,869489.0
Nov,2022,    Indonesia,213017.0
Nov,2022,    Malaysia,220371.0
Nov,2022,    Philippines,104626.0
Nov,2022,    Thailand,194279.0
Nov,2022,    Vietnam,93847.0
Nov,2022,  North East Asia,247593.0
Nov,2022,    Mainland China,17880.0
Nov,2022,    Hong Kong,30756.0
Nov,2022,    Japan,83424.0
Nov,2022,  South Asia,222583.0
Nov,2022,  Middle East,71101.0
Nov,2022,  Oceania,265382.0
Nov,2022,  Europe,186000.0
Nov,2022,    France,21438.0
Nov,2022,    Germany,43500.0
Nov,2022,    United Kingdom,54712.0
Nov,2022,  North America,53226.0
Nov,2022,  Other Regions,6716.0
Oct,2022,Number Of Air Passenger Arrivals,1823550.0
Oct,2022,  South East Asia,860841.0
Oct,2022,    Indonesia,206049.0
Oct,2022,    Malaysia,222403.0
Oct,2022,    Philippines,107655.0
Oct,2022,    Thailand,188712.0
Oct,2022,    Vietnam,98211.0
Oct,2022,  North East Asia,183577.0
Oct,2022,    Mainland China,15965.0
Oct,2022,    Hong Kong,23769.0
Oct,2022,    Japan,55696.0
Oct,2022,  South Asia,221599.0
Oct,2022,  Middle East,72937.0
Oct,2022,  Oceania,233455.0
Oct,2022,  Europe,194413.0
Oct,2022,    France,19933.0
Oct,2022,    Germany,46194.0
