Month,Year,Country,Departures,Arrivals
Jun,2023,    Thailand,216895.0,214922.0
Jun,2023,    Vietnam,102865.0,111167.0
Jun,2023,  North East Asia,533127.0,569258.0
Jun,2023,    Mainland China,170581.0,184935.0
Jun,2023,    Hong Kong,77530.0,78942.0
Jun,2023,    Japan,112475.0,119020.0
Jun,2023,  South Asia,270077.0,265510.0
Jun,2023,  Middle East,77052.0,76872.0
Jun,2023,  Oceania,263281.0,285147.0
Jun,2023,  Europe,210702.0,195524.0
Jun,2023,    France,23407.0,22334.0
Jun,2023,    Germany,44345.0,40113.0
Jun,2023,    United Kingdom,64978.0,60390.0
Jun,2023,  North America,55799.0,58384.0
Jun,2023,  Other Regions,9717.0,9075.0
May,2023,  South East Asia,1016642.0,1025991.0
May,2023,    Indonesia,297376.0,295364.0
May,2023,    Malaysia,249761.0,256899.0
May,2023,    Philippines,119130.0,123290.0
May,2023,    Thailand,205833.0,201556.0
May,2023,    Vietnam,102171.0,102932.0
May,2023,  North East Asia,522867.0,488945.0
May,2023,    Mainland China,156623.0,132574.0
May,2023,    Hong Kong,81104.0,75345.0
May,2023,    Japan,118111.0,115040.0
May,2023,  South Asia,251907.0,272452.0
May,2023,  Middle East,82277.0,67704.0
May,2023,  Oceania,268632.0,276655.0
May,2023,  Europe,208380.0,178465.0
May,2023,    France,23328.0,20845.0
May,2023,    Germany,44171.0,37987.0
May,2023,    United Kingdom,63065.0,50777.0
May,2023,  North America,56810.0,58215.0
May,2023,  Other Regions,9136.0,8359.0
Apr,2023,  South East Asia,945849.0,999423.0
Apr,2023,    Indonesia,254622.0,262495.0
Apr,2023,    Malaysia,231352.0,261045.0
Apr,2023,    Philippines,115894.0,115838.0
Apr,2023,    Thailand,205921.0,208237.0
Apr,2023,    Vietnam,96153.0,105687.0
Apr,2023,  North East Asia,470855.0,484730.0
Apr,2023,    Mainland China,117920.0,126550.0
Apr,2023,    Hong Kong,76242.0,76541.0
Apr,2023,    Japan,113762.0,117712.0
Apr,2023,  South Asia,220753.0,260344.0
Apr,2023,  Middle East,77974.0,60304.0
Apr,2023,  Oceania,267162.0,269449.0
Apr,2023,  Europe,209706.0,173655.0
Apr,2023,    France,22681.0,20337.0
Apr,2023,    Germany,47226.0,37972.0
Apr,2023,    United Kingdom,62538.0,49612.0
Apr,2023,  North America,54764.0,48587.0
Apr,2023,  Other Regions,9012.0,8259.0
Mar,2023,  South East Asia,987984.0,1015324.0
Mar,2023,    Indonesia,258118.0,253733.0
Mar,2023,    Malaysia,257769.0,258302.0
Mar,2023,    Philippines,113075.0,118229.0
Mar,2023,    Thailand,217201.0,228228.0
Mar,2023,    Vietnam,99121.0,110179.0
Mar,2023,  North East Asia,460584.0,439060.0
Mar,2023,    Mainland China,87393.0,90156.0
Mar,2023,    Hong Kong,72582.0,73512.0
