Month,Year,Country,Departures,Arrivals
Oct,2001,Japan,52127.0,51721.0
Oct,2001,Hong Kong,69011.0,61953.0
Oct,2001,Mainland China,58031.0,57856.0
Oct,2001,North East Asia,226320.0,218158.0
Oct,2001,Vietnam,12711.0,12434.0
Oct,2001,Thailand,97734.0,104821.0
Oct,2001,United Kingdom,42859.0,59220.0
Oct,2001,Philippines,23833.0,25161.0
Oct,2001,Indonesia,118498.0,117909.0
Oct,2001,South East Asia,374073.0,391388.0
Nov,2001,North America,16691.0,19760.0
Nov,2001,United Kingdom,43987.0,52324.0
Nov,2001,Germany,26585.0,26922.0
Nov,2001,France,12286.0,11416.0
Nov,2001,Europe,112622.0,123922.0
Nov,2001,Oceania,151229.0,150174.0
Nov,2001,Middle East,12250.0,11147.0
Nov,2001,South Asia,74380.0,60357.0
Nov,2001,Japan,49726.0,50236.0
Oct,2001,Malaysia,105945.0,115435.0
Jul,2001,United Kingdom,54706.0,62854.0
Jul,2001,North America,30054.0,28709.0
Jun,2001,South East Asia,458212.0,471051.0
Feb,2001,North East Asia,241931.0,239169.0
Feb,2001,Vietnam,13505.0,17471.0
Feb,2001,Thailand,97296.0,108692.0
Feb,2001,Philippines,24960.0,26309.0
Feb,2001,Malaysia,111439.0,125339.0
Feb,2001,Indonesia,104089.0,108701.0
Feb,2001,South East Asia,367303.0,403155.0
Mar,2001,North America,32063.0,22687.0
Mar,2001,United Kingdom,60386.0,54893.0
Mar,2001,Germany,30336.0,25026.0
Mar,2001,France,14368.0,11226.0
Mar,2001,Europe,146834.0,125817.0
Mar,2001,Oceania,144712.0,151771.0
Mar,2001,Middle East,12097.0,19184.0
Mar,2001,South Asia,73409.0,84574.0
Mar,2001,Japan,100067.0,96285.0
Mar,2001,Hong Kong,85926.0,84529.0
Mar,2001,Mainland China,49219.0,45756.0
Mar,2001,North East Asia,290584.0,278970.0
Mar,2001,Vietnam,14746.0,17973.0
Mar,2001,Thailand,117647.0,127617.0
Mar,2001,Philippines,33597.0,31161.0
Mar,2001,Malaysia,135528.0,143255.0
Feb,2001,Mainland China,37519.0,39701.0
Feb,2001,Hong Kong,67682.0,61990.0
Feb,2001,Japan,81645.0,85205.0
Feb,2001,South Asia,70770.0,80326.0
Jan,2001,United Kingdom,62226.0,60469.0
Jan,2001,Germany,24638.0,23638.0
Jan,2001,France,12127.0,10880.0
Jan,2001,Europe,138172.0,131596.0
Jan,2001,Oceania,172518.0,163881.0
Jan,2001,Middle East,11979.0,11793.0
Jan,2001,South Asia,79443.0,93263.0
Jan,2001,Japan,87762.0,85980.0
Jan,2001,Hong Kong,72621.0,89147.0
Jan,2001,Mainland China,49965.0,54210.0
Jan,2001,North East Asia,266757.0,287006.0
Mar,2001,Indonesia,128734.0,124848.0
Jan,2001,Vietnam,17779.0,15799.0
Jan,2001,Philippines,23816.0,34866.0
Jan,2001,Malaysia,133197.0,130138.0
Jan,2001,Indonesia,138228.0,115362.0
Jan,2001,South East Asia,435141.0,431224.0
Feb,2001,North America,26987.0,22619.0
Feb,2001,United Kingdom,45167.0,52375.0
Feb,2001,Germany,22366.0,24888.0
Feb,2001,France,10837.0,11712.0
Feb,2001,Europe,110594.0,121526.0
Feb,2001,Oceania,151025.0,116360.0
Feb,2001,Middle East,15247.0,11045.0
Jan,2001,Thailand,103163.0,116099.0
