Month,Year,Country,Departures,Arrivals,Total_Flow
Jul,1963,    Indonesia,2045.0,2305.0,4350.0
Jul,1963,    Japan,170.0,183.0,353.0
Jul,1963,    Philippines,339.0,436.0,775.0
Jul,1963,    Thailand,2384.0,1950.0,4334.0
Jul,1963,    United Kingdom,620.0,1718.0,2338.0
Jul,1963,Number Of Air Passenger Arrivals,0.0,17634.0,17634.0
Jul,1963,Number Of Air Passenger Departures,16687.0,0.0,16687.0
Jun,1963,    Hong Kong,1138.0,1321.0,2459.0
Jun,1963,    Indonesia,1643.0,1836.0,3479.0
Jun,1963,    Japan,120.0,172.0,292.0
Jun,1963,    Philippines,223.0,226.0,449.0
Jun,1963,    Thailand,1735.0,1432.0,3167.0
Jun,1963,    United Kingdom,556.0,611.0,1167.0
Jun,1963,Number Of Air Passenger Arrivals,0.0,13854.0,13854.0
Jun,1963,Number Of Air Passenger Departures,13725.0,0.0,13725.0
Mar,1963,    Hong Kong,1762.0,1464.0,3226.0
Mar,1963,    Indonesia,1644.0,2170.0,3814.0
Mar,1963,    Japan,199.0,211.0,410.0
Mar,1963,    Philippines,282.0,321.0,603.0
Mar,1963,    Thailand,2478.0,1881.0,4359.0
Mar,1963,    United Kingdom,554.0,667.0,1221.0
Mar,1963,Number Of Air Passenger Arrivals,0.0,15993.0,15993.0
Mar,1963,Number Of Air Passenger Departures,15784.0,0.0,15784.0
May,1963,    Hong Kong,1629.0,1639.0,3268.0
May,1963,    Indonesia,1594.0,2045.0,3639.0
May,1963,    Japan,139.0,159.0,298.0
May,1963,    Philippines,245.0,317.0,562.0
May,1963,    Thailand,2288.0,2257.0,4545.0
May,1963,    United Kingdom,717.0,851.0,1568.0
May,1963,Number Of Air Passenger Arrivals,0.0,16200.0,16200.0
May,1963,Number Of Air Passenger Departures,15784.0,0.0,15784.0
Nov,1963,    Hong Kong,2012.0,2294.0,4306.0
Nov,1963,    Indonesia,9.0,39.0,48.0
Nov,1963,    Japan,103.0,155.0,258.0
Nov,1963,    Philippines,537.0,369.0,906.0
Nov,1963,    Thailand,2382.0,2385.0,4767.0
Nov,1963,    United Kingdom,397.0,759.0,1156.0
Nov,1963,Number Of Air Passenger Arrivals,0.0,16172.0,16172.0
Nov,1963,Number Of Air Passenger Departures,16353.0,0.0,16353.0
Oct,1963,    Hong Kong,1711.0,1980.0,3691.0
Oct,1963,    Indonesia,1.0,26.0,27.0
Oct,1963,    Japan,135.0,89.0,224.0
Oct,1963,    Philippines,324.0,392.0,716.0
Oct,1963,    Thailand,2531.0,2287.0,4818.0
