Country,Month (YYYY-MM),Arrivals,Departures,No of holidays
Hong Kong,2017-08,142150,157914,0
Japan,2017-08,116346,118550,1
France,2017-08,19516,20293,1
Germany,2017-08,37694,39054,0
United Kingdom,2017-08,56939,59520,0
Indonesia,2017-07,340888,391523,0
Malaysia,2017-07,281542,274837,0
Philippines,2017-07,110029,109987,0
Thailand,2017-07,253565,231727,3
Vietnam,2017-07,118394,111358,0
Mainland China,2017-07,311470,266361,0
Hong Kong,2017-07,159223,136045,1
Japan,2017-07,111469,100728,1
France,2017-07,21433,18698,1
Germany,2017-07,40878,35967,0
United Kingdom,2017-07,61786,60067,0
Indonesia,2017-06,337912,309322,3
Malaysia,2017-06,283947,277727,2
Philippines,2017-06,117232,119582,2
Thailand,2017-06,254786,252492,0
Vietnam,2017-06,111912,108926,0
Mainland China,2017-06,264024,257804,0
Hong Kong,2017-06,141704,135987,0
Japan,2017-06,108320,110039,0
France,2017-06,16589,19656,1
Germany,2017-06,30566,36404,1
United Kingdom,2017-06,51530,60191,0
Indonesia,2017-05,325385,328353,3
Malaysia,2017-05,275016,266497,2
Philippines,2017-05,128774,131166,1
Thailand,2017-05,248376,238268,3
Vietnam,2017-05,99427,98484,2
Mainland China,2017-05,236451,257217,4
Hong Kong,2017-05,134341,134305,3
Japan,2017-05,105735,108491,3
France,2017-05,16048,18806,3
Germany,2017-05,28513,35749,2
United Kingdom,2017-05,42505,55989,2
Indonesia,2017-04,333326,341023,2
Malaysia,2017-04,272647,265973,1
Philippines,2017-04,133850,127895,4
Thailand,2017-04,260989,245698,5
Vietnam,2017-04,99960,94188,1
Mainland China,2017-04,255355,253210,5
Hong Kong,2017-04,142400,136253,4
Japan,2017-04,118514,112702,1
France,2017-04,17361,19771,1
Germany,2017-04,31759,39486,2
United Kingdom,2017-04,47300,60961,1
Indonesia,2017-03,339952,325309,1
Malaysia,2017-03,276205,270990,0
Philippines,2017-03,117380,119274,0
Thailand,2017-03,269126,244216,0
Vietnam,2017-03,102567,98165,0
Mainland China,2017-03,243818,248150,0
Hong Kong,2017-03,146329,146303,0
Japan,2017-03,115925,130007,1
France,2017-03,16911,20295,0
Germany,2017-03,34072,39825,0
United Kingdom,2017-03,50101,59481,0
Indonesia,2017-02,288658,270594,0
Malaysia,2017-02,256697,226336,0
Philippines,2017-02,108201,99125,0
Thailand,2017-02,234650,207458,1
Vietnam,2017-02,95879,86541,1
Mainland China,2017-02,248052,269935,0
Hong Kong,2017-02,125406,141529,0
Japan,2017-02,111631,98196,1
France,2017-02,17305,15948,0
Germany,2017-02,33919,29405,0
United Kingdom,2017-02,49213,45151,0
Indonesia,2017-01,308766,344501,2
Malaysia,2017-01,259314,265543,3
Philippines,2017-01,139796,114849,3
Thailand,2017-01,244080,225114,2
Vietnam,2017-01,98670,96785,8
Mainland China,2017-01,296317,254192,4
Hong Kong,2017-01,161089,128291,6
Japan,2017-01,109393,106731,6
France,2017-01,18160,16417,1
Germany,2017-01,32906,32774,1
United Kingdom,2017-01,52431,53038,2
Indonesia,2016-12,365783,335360,3
Malaysia,2016-12,299391,304950,2
Philippines,2016-12,114681,144361,5
Thailand,2016-12,263169,267095,5
Vietnam,2016-12,106207,112961,0
Mainland China,2016-12,257605,258271,0
Hong Kong,2016-12,166616,165351,3
Japan,2016-12,134886,135511,2
France,2016-12,17134,16303,1
Germany,2016-12,33633,30436,2
United Kingdom,2016-12,54309,50928,3
Indonesia,2016-11,300660,300455,0
Malaysia,2016-11,257154,258320,0
Philippines,2016-11,103938,112434,2
Thailand,2016-11,218301,221313,0
Vietnam,2016-11,90792,96222,0
Mainland China,2016-11,217215,227352,0
Hong Kong,2016-11,141271,144740,0
Japan,2016-11,114281,118478,2
France,2016-11,15333,16999,2
Germany,2016-11,29710,29380,0
United Kingdom,2016-11,43361,46842,0
Indonesia,2016-10,319758,316342,1
Malaysia,2016-10,256392,254766,1
Philippines,2016-10,103821,99503,1
Thailand,2016-10,218518,213560,1
Vietnam,2016-10,88423,88146,0
Mainland China,2016-10,210307,226366,3
Hong Kong,2016-10,132063,138929,2
Japan,2016-10,113949,116800,1
France,2016-10,20294,15943,0
Germany,2016-10,37913,30584,1
United Kingdom,2016-10,57141,45360,0
Indonesia,2016-09,310179,301544,1
Malaysia,2016-09,248409,249239,3
Philippines,2016-09,93800,93794,2
Thailand,2016-09,206616,207122,0
Vietnam,2016-09,85822,89863,1
Mainland China,2016-09,212851,212385,3
Hong Kong,2016-09,133789,126896,1
Japan,2016-09,104219,112723,2
France,2016-09,17980,17709,0
Germany,2016-09,34139,32535,0
United Kingdom,2016-09,52207,58270,0
Indonesia,2016-08,332725,314934,1
Malaysia,2016-08,259607,246382,1
Philippines,2016-08,101353,97964,2
Thailand,2016-08,225691,204087,1
Vietnam,2016-08,97686,94336,0
Mainland China,2016-08,254098,283712,0
Hong Kong,2016-08,148520,161138,0
Japan,2016-08,119655,119815,1
France,2016-08,19941,20430,1
Germany,2016-08,35865,34643,0
United Kingdom,2016-08,58511,64941,0
Indonesia,2016-07,327281,371216,6
Malaysia,2016-07,264408,260258,3
Philippines,2016-07,106747,104073,1
Thailand,2016-07,247904,232245,3
Vietnam,2016-07,108500,104565,0
Mainland China,2016-07,284457,245807,0
Hong Kong,2016-07,170836,150036,1
Japan,2016-07,114104,105279,1
France,2016-07,21919,19344,1
Germany,2016-07,35346,30573,0
United Kingdom,2016-07,66035,59413,0
Indonesia,2016-06,325245,307644,0
Malaysia,2016-06,256080,257931,1
Philippines,2016-06,110994,113819,1
Thailand,2016-06,236316,230434,0
Vietnam,2016-06,100447,97516,0
Mainland China,2016-06,240398,229889,3
Hong Kong,2016-06,156381,147022,1
Japan,2016-06,109984,109605,0
France,2016-06,15828,19436,0
Germany,2016-06,25854,30805,0
United Kingdom,2016-06,46055,57778,0
Indonesia,2016-05,317242,319954,4
Malaysia,2016-05,262409,252424,2
Philippines,2016-05,128979,126628,2
Thailand,2016-05,249849,231026,6
Vietnam,2016-05,95463,94565,2
Mainland China,2016-05,210377,236454,2
Hong Kong,2016-05,152607,152754,3
Japan,2016-05,111875,116677,3
France,2016-05,15853,19738,4
Germany,2016-05,24218,30143,3
United Kingdom,2016-05,38055,48888,2
Indonesia,2016-04,289167,295459,0
Malaysia,2016-04,246072,238836,0
Philippines,2016-04,130245,118290,1
Thailand,2016-04,260779,239207,4
Vietnam,2016-04,97425,88952,1
Mainland China,2016-04,234657,234186,3
Hong Kong,2016-04,152355,155634,1
Japan,2016-04,126390,117097,1
France,2016-04,16743,19802,0
Germany,2016-04,24649,31980,0
United Kingdom,2016-04,36286,55966,0
Indonesia,2016-03,304817,301809,2
Malaysia,2016-03,262056,257838,0
Philippines,2016-03,114345,119847,3
Thailand,2016-03,271823,252580,0
Vietnam,2016-03,97842,93615,0
Mainland China,2016-03,223814,223340,0
Hong Kong,2016-03,166477,157695,3
Japan,2016-03,120844,139487,2
France,2016-03,14882,19010,1
Germany,2016-03,28136,32729,2
United Kingdom,2016-03,48788,53048,1
Indonesia,2016-02,268355,268906,1
Malaysia,2016-02,246225,237642,2
Philippines,2016-02,107571,100457,2
Thailand,2016-02,230720,222885,1
Vietnam,2016-02,89928,86077,7
Mainland China,2016-02,244746,263343,5
Hong Kong,2016-02,143911,150986,3
Japan,2016-02,113219,111124,1
France,2016-02,15643,14839,0
Germany,2016-02,27266,25255,0
United Kingdom,2016-02,44883,43265,0
Indonesia,2016-01,279840,295912,1
Malaysia,2016-01,241990,229464,0
Philippines,2016-01,136563,104780,2
Thailand,2016-01,255251,220545,1
Vietnam,2016-01,94262,86825,1
Mainland China,2016-01,224915,195632,1
Hong Kong,2016-01,162489,141698,1
Japan,2016-01,118555,107665,5
France,2016-01,17442,13317,1
Germany,2016-01,29516,29436,1
United Kingdom,2016-01,55836,50089,1
Indonesia,2015-12,331387,302910,4
Malaysia,2015-12,284598,286633,2
Philippines,2015-12,109090,140383,4
Thailand,2015-12,270512,272784,6
