Month,Year,Country,Departures,Arrivals,Total Holidays,Inflation,Month_sin,Month_cos,Total_Traffic
8,2000,Vietnam,12226.0,17764.0,0.00020431219899957198,-1.4399049353783602,-0.8660254037844385,-0.5000000000000004,29990.0
8,2000,Thailand,95766.0,105648.0,0.00020431219899957198,-0.3104027537573375,-0.8660254037844385,-0.5000000000000004,201414.0
8,2000,Philippines,28301.0,29637.0,0.00020431219899957198,1.2386288096086366,-0.8660254037844385,-0.5000000000000004,57938.0
8,2000,Malaysia,130507.0,145755.0,0.00020431219899957198,-0.34267424466079527,-0.8660254037844385,-0.5000000000000004,276262.0
8,2000,Indonesia,124900.0,127648.0,0.00020431219899957198,0.33502706431181845,-0.8660254037844385,-0.5000000000000004,252548.0
8,2000,South East Asia,408229.0,444483.0,0.00020431219899957198,0.33502706431181845,-0.8660254037844385,-0.5000000000000004,852712.0
8,2000,North East Asia,329249.0,293458.0,0.00020431219899957198,0.33502706431181845,-0.8660254037844385,-0.5000000000000004,622707.0
8,2000,Mainland China,45382.0,38873.0,0.00020431219899957198,0.33502706431181845,-0.8660254037844385,-0.5000000000000004,84255.0
8,2000,Japan,108413.0,105872.0,0.00020431219899957198,-1.0849185354403246,-0.8660254037844385,-0.5000000000000004,214285.0
8,2000,North America,32601.0,23906.0,0.00020431219899957198,-1.0849185354403246,-0.8660254037844385,-0.5000000000000004,56507.0
8,2000,United Kingdom,60700.0,59691.0,0.00020431219899957198,-0.6008461718884577,-0.8660254037844385,-0.5000000000000004,120391.0
8,2000,Germany,28764.0,27917.0,0.00020431219899957198,-0.4072172264677109,-0.8660254037844385,-0.5000000000000004,56681.0
8,2000,France,13067.0,12145.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844385,-0.5000000000000004,25212.0
8,2000,Europe,148893.0,143390.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844385,-0.5000000000000004,292283.0
8,2000,Oceania,136319.0,143561.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844385,-0.5000000000000004,279880.0
8,2000,Middle East,19363.0,14889.0,0.00020431219899957198,-0.2781312628538797,-0.8660254037844385,-0.5000000000000004,34252.0
